Pop	Frame	nloci	ExpG	ExpK	Obt	Ows
AK	0	1272815	290	276	103	144
AK	1	1272815	265	325	172	300
AK	2	1272815	290	348	138	150
DK	0	1440501	327	314	190	276
DK	1	1440501	299	371	318	483
DK	2	1440501	327	397	223	251
UM	0	1143721	262	252	129	179
UM	1	1143721	239	297	246	377
UM	2	1143721	262	318	107	138
GI	0	1326269	304	291	195	253
GI	1	1326269	279	343	226	391
GI	2	1326269	304	367	144	179
SW	0	1119960	256	250	130	178
SW	1	1119960	230	296	257	391
SW	2	1119960	256	318	166	201
YE	0	1641755	374	361	169	194
YE	1	1641755	338	428	324	469
YE	2	1641755	374	459	167	181
ZB	0	1200121	279	269	129	175
ZB	1	1200121	252	319	284	430
ZB	2	1200121	279	342	189	226
AK	IG	2147483647	1839181	1776758	1323699	1828152
DK	IG	2147483647	1768465	1707687	1280190	1763975
UM	IG	2147483647	1822705	1760268	1316515	1811161
GI	IG	2147483647	1906004	1840872	1371327	1889493
SW	IG	2147483647	1823809	1761983	1316219	1807274
YE	IG	2147483647	1873396	1808499	1349122	1858731
ZB	IG	2147483647	1750696	1690669	1269809	1740461
