MinOverlap%	Frame	TotalORF	CountORF	OverlapLen	ORF%Frm	AvgLen	Overlap%Frm
50	0	1725	467	37884	27.07	81.12	26.00
50	1	1725	678	65085	39.30	96.00	44.66
50	2	1725	580	42753	33.62	73.71	29.34
60	0	1710	463	37707	27.08	81.44	26.00
60	1	1710	673	64806	39.36	96.29	44.69
60	2	1710	574	42503	33.57	74.05	29.31
70	0	1695	459	37329	27.08	81.33	25.93
70	1	1695	667	64350	39.35	96.48	44.70
70	2	1695	569	42291	33.57	74.33	29.37
80	0	1671	454	36882	27.17	81.24	26.07
80	1	1671	656	62972	39.26	95.99	44.50
80	2	1671	561	41641	33.57	74.23	29.43
90	0	1655	451	36642	27.25	81.25	26.20
90	1	1655	650	62290	39.27	95.83	44.54
90	2	1655	554	40931	33.47	73.88	29.27
100	0	1641	447	36291	27.24	81.19	26.23
100	1	1641	646	61839	39.37	95.73	44.69
100	2	1641	548	40245	33.39	73.44	29.08
